places,address,link,user,star,creat_date,comment
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",John B,4.0,2025-04-01,An air-conditioned oasis in the heart of Can Tho city. Sense City mall has plenty of shopping options where you can pick up supplies you might be missing from home plus a good food court on the the 3rd floor.
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Trunglong Huynh,5.0,2025-04-01,"Sense city is a center to shoping. It contain co.opmart - a supermarket with many things and price is low or normal. In another part, it contain many showrooms and stores sell jewelries, clothers,  sneakers and sport tools, beer, coffee and drinks,... CGV cinema in the third floor of this building."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Kha Huynh,4.0,2025-04-01,Not so many thing to enjoy. Mainly they come here for Supper market. Ground has some other brands for jewelries.
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Dam Tran Thanh,1.0,2025-04-01,"Located at the center of the city. This shopping mall is very convenient for local and travelling people with all kind of foods, consumer goods, etc..."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Margreet van Veluw,4.0,2025-04-01,"Nice and clean shoppingmall, various shops including a big supermarket and a coffee shop. Also a cinema and multiple fastfood restaurants. Nice to hang out for an afternoon."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Hung Ngo,5.0,2025-04-01,"Nice place and convenient position in the city center. There's CGV cinema, Jolibee, Nike, Baskin Robin and lots of stuff for daily need"
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Good sign,5.0,2024-04-01,Beautiful and clean.
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Vincent “plantbasedvince” Nguyen,5.0,2025-04-01,Huge new shopping mall in Cần Thơ. I didn't see this 4 years ago when I visited. It's worth a visit lots of unique stores and great food court.
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Tim,4.0,2025-04-01,One of the main shopping malls in Can Tho. Nice and big and in the supermarket they sell Hasfarm flowers.
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Karunen Pillay Vencatasawmy,5.0,2025-04-01,Has a cool arts shop and the cinema is nice. We didn't see much more.
